date,close
01-Jan-01,3.6
02-Jan-01,5.5
03-Jan-01,7
04-Jan-01,6.1
05-Jan-01,7.4
06-Jan-01,4.9
07-Jan-01,3.3
08-Jan-01,3.1
09-Jan-01,0.7
10-Jan-01,-2.5
11-Jan-01,4
12-Jan-01,1.1
13-Jan-01,-0.7
14-Jan-01,2
15-Jan-01,1.2
16-Jan-01,-0.1
17-Jan-01,-1.6
18-Jan-01,-0.6
19-Jan-01,-1.4
20-Jan-01,-3
21-Jan-01,1.9
22-Jan-01,2
23-Jan-01,2
24-Jan-01,6.4
25-Jan-01,4.8
26-Jan-01,4
27-Jan-01,4
28-Jan-01,3
29-Jan-01,2.7
30-Jan-01,-1
31-Jan-01,-2
01-Feb-01,-2.5
02-Feb-01,-5.8
03-Feb-01,-9.4
04-Feb-01,-10.9
05-Feb-01,-9.3
06-Feb-01,-6.4
07-Feb-01,2.4
08-Feb-01,-0.2
09-Feb-01,-2.6
10-Feb-01,1.1
11-Feb-01,4.7
12-Feb-01,5.5
13-Feb-01,3.9
14-Feb-01,3.2
15-Feb-01,3.9
16-Feb-01,-0.1
17-Feb-01,5.3
18-Feb-01,4.8
19-Feb-01,4
20-Feb-01,4.3
21-Feb-01,1.5
22-Feb-01,-1.6
23-Feb-01,-3.2
24-Feb-01,-1.4
25-Feb-01,-3.5
26-Feb-01,-2.9
27-Feb-01,-6.2
28-Feb-01,-4.5
01-Mrz-01,-6.9
02-Mrz-01,-7.2
03-Mrz-01,-1.3
04-Mrz-01,0.9
05-Mrz-01,1.9
06-Mrz-01,4.8
07-Mrz-01,4.5
08-Mrz-01,4
09-Mrz-01,3.7
10-Mrz-01,4.5
11-Mrz-01,5.6
12-Mrz-01,3.8
13-Mrz-01,4.5
14-Mrz-01,3.6
15-Mrz-01,1.6
16-Mrz-01,0
17-Mrz-01,1.4
18-Mrz-01,-1.1
19-Mrz-01,-0.7
20-Mrz-01,-1.2
21-Mrz-01,-0.6
22-Mrz-01,-0.5
23-Mrz-01,0.8
24-Mrz-01,-0.8
25-Mrz-01,-0.5
26-Mrz-01,0
27-Mrz-01,0.5
28-Mrz-01,2.2
29-Mrz-01,3.2
30-Mrz-01,1.9
31-Mrz-01,4.4
01-Apr-01,6
02-Apr-01,6.2
03-Apr-01,6.4
04-Apr-01,3.9
05-Apr-01,4.6
06-Apr-01,3.9
07-Apr-01,5.1
08-Apr-01,4.6
09-Apr-01,4.8
10-Apr-01,6
11-Apr-01,2.8
12-Apr-01,1.9
13-Apr-01,1.5
14-Apr-01,0.5
15-Apr-01,2
16-Apr-01,4.1
17-Apr-01,1.9
18-Apr-01,2.5
19-Apr-01,5.7
20-Apr-01,4.5
21-Apr-01,3.8
22-Apr-01,4.1
23-Apr-01,5.7
24-Apr-01,5.2
25-Apr-01,6
26-Apr-01,6.3
27-Apr-01,6.1
28-Apr-01,7.8
29-Apr-01,6.2
30-Apr-01,6.7
01-Mai-01,6.2
02-Mai-01,8.5
03-Mai-01,7.2
04-Mai-01,5
05-Mai-01,6.5
06-Mai-01,8.3
07-Mai-01,10.9
08-Mai-01,11.3
09-Mai-01,11.3
10-Mai-01,13.8
11-Mai-01,14.4
12-Mai-01,13
13-Mai-01,9.2
14-Mai-01,9.4
15-Mai-01,9.9
16-Mai-01,9.3
17-Mai-01,10.3
18-Mai-01,8.4
19-Mai-01,7.9
20-Mai-01,8.6
21-Mai-01,7.3
22-Mai-01,9.3
23-Mai-01,9.8
24-Mai-01,6.8
25-Mai-01,8.4
26-Mai-01,8.7
27-Mai-01,9.9
28-Mai-01,10.1
29-Mai-01,10.4
30-Mai-01,9.2
31-Mai-01,11.1
01-Jun-01,9.4
02-Jun-01,7.8
03-Jun-01,9.1
04-Jun-01,8.4
05-Jun-01,9.1
06-Jun-01,8.6
07-Jun-01,7.4
08-Jun-01,7.5
09-Jun-01,8.3
10-Jun-01,8.4
11-Jun-01,8.2
12-Jun-01,8.2
13-Jun-01,7.9
14-Jun-01,9.5
15-Jun-01,10.4
16-Jun-01,12.9
17-Jun-01,13.9
18-Jun-01,14.1
19-Jun-01,10.8
20-Jun-01,11
21-Jun-01,11.4
22-Jun-01,14.1
23-Jun-01,15.3
24-Jun-01,11
25-Jun-01,11.4
26-Jun-01,12.6
27-Jun-01,14.4
28-Jun-01,14.5
29-Jun-01,13.5
30-Jun-01,15.1
01-Jul-01,12.4
02-Jul-01,12.2
03-Jul-01,16
04-Jul-01,16.9
05-Jul-01,18.1
06-Jul-01,16.7
07-Jul-01,17.5
08-Jul-01,18.3
09-Jul-01,14
10-Jul-01,14.4
11-Jul-01,15.2
12-Jul-01,13.4
13-Jul-01,12.6
14-Jul-01,11.8
15-Jul-01,11.7
16-Jul-01,12.1
17-Jul-01,12.3
18-Jul-01,15.4
19-Jul-01,16.5
20-Jul-01,16.7
21-Jul-01,14.2
22-Jul-01,15
23-Jul-01,15.6
24-Jul-01,15.2
25-Jul-01,14.8
26-Jul-01,14.8
27-Jul-01,15.7
28-Jul-01,15.4
29-Jul-01,15.8
30-Jul-01,12.2
31-Jul-01,12.1
01-Aug-01,12.4
02-Aug-01,13.4
03-Aug-01,14.9
04-Aug-01,14.1
05-Aug-01,12.5
06-Aug-01,11.5
07-Aug-01,12.9
08-Aug-01,13
09-Aug-01,13.9
10-Aug-01,12.3
11-Aug-01,11.4
12-Aug-01,12.8
13-Aug-01,13
14-Aug-01,15.8
15-Aug-01,17.1
16-Aug-01,17.5
17-Aug-01,13.3
18-Aug-01,13.9
19-Aug-01,16.7
20-Aug-01,15.9
21-Aug-01,14.5
22-Aug-01,16
23-Aug-01,16.9
24-Aug-01,17
25-Aug-01,15.5
26-Aug-01,13.4
27-Aug-01,11.6
28-Aug-01,12
29-Aug-01,11.7
30-Aug-01,14.6
31-Aug-01,13.7
01-Sep-01,11.5
02-Sep-01,11
03-Sep-01,13.1
04-Sep-01,13
05-Sep-01,11.1
06-Sep-01,11
07-Sep-01,9.7
08-Sep-01,9.7
09-Sep-01,11.9
10-Sep-01,12.1
11-Sep-01,11.9
12-Sep-01,12.2
13-Sep-01,13.5
14-Sep-01,10.8
15-Sep-01,10.7
16-Sep-01,12.2
17-Sep-01,13.7
18-Sep-01,15.7
19-Sep-01,17.7
20-Sep-01,13.7
21-Sep-01,12
22-Sep-01,14.3
23-Sep-01,13
24-Sep-01,11.5
25-Sep-01,11.6
26-Sep-01,10.5
27-Sep-01,9.1
28-Sep-01,8.2
29-Sep-01,9.3
30-Sep-01,11.2
01-Okt-01,13
02-Okt-01,13
03-Okt-01,12
04-Okt-01,11
05-Okt-01,10.1
06-Okt-01,13.1
07-Okt-01,13
08-Okt-01,13.6
09-Okt-01,12.4
10-Okt-01,10.1
11-Okt-01,9.4
12-Okt-01,11.4
13-Okt-01,11.2
14-Okt-01,11.2
15-Okt-01,13.5
16-Okt-01,11.9
17-Okt-01,9.9
18-Okt-01,8.4
19-Okt-01,8.8
20-Okt-01,9.9
21-Okt-01,9.7
22-Okt-01,10
23-Okt-01,8.7
24-Okt-01,9.6
25-Okt-01,11.5
26-Okt-01,11.6
27-Okt-01,10.1
28-Okt-01,8.1
29-Okt-01,9.9
30-Okt-01,7.7
31-Okt-01,7.1
01-Nov-01,6.2
02-Nov-01,10.4
03-Nov-01,9.3
04-Nov-01,5.9
05-Nov-01,1.3
06-Nov-01,1.6
07-Nov-01,2.2
08-Nov-01,0.7
09-Nov-01,-0.1
10-Nov-01,7.6
11-Nov-01,5.1
12-Nov-01,0.4
13-Nov-01,0.6
14-Nov-01,-0.3
15-Nov-01,7.2
16-Nov-01,4.7
17-Nov-01,8
18-Nov-01,6.3
19-Nov-01,3.6
20-Nov-01,4.7
21-Nov-01,6.3
22-Nov-01,0.3
23-Nov-01,-0.9
24-Nov-01,4.1
25-Nov-01,7.3
26-Nov-01,3.1
27-Nov-01,5.1
28-Nov-01,3.7
29-Nov-01,4
30-Nov-01,7.2
01-Dez-01,7.9
02-Dez-01,3.8
03-Dez-01,4.3
04-Dez-01,6.4
05-Dez-01,2.3
06-Dez-01,-0.1
07-Dez-01,2.9
08-Dez-01,7.6
09-Dez-01,8.2
10-Dez-01,4.9
11-Dez-01,-0.3
12-Dez-01,0.2
13-Dez-01,0.3
14-Dez-01,1.7
15-Dez-01,-0.6
16-Dez-01,-0.4
17-Dez-01,1.1
18-Dez-01,2.8
19-Dez-01,1
20-Dez-01,0.8
21-Dez-01,-0.8
22-Dez-01,-4.1
23-Dez-01,-1.3
24-Dez-01,1.1
25-Dez-01,-1.6
26-Dez-01,-1.2
27-Dez-01,-5.3
28-Dez-01,-6.1
29-Dez-01,-5.8
30-Dez-01,-6.5
31-Dez-01,-4
